start: 2020-02-18 19:19:12,Voltage, Current
-2.50 mA,1.25 mV,0.00 mW
-1.25 mA,0.00 mV,0.00 mW
-2.50 mA,0.00 mV,0.00 mW
-2.50 mA,1.25 mV,0.00 mW
end: 2020-02-18 19:19:16
